POREWATER,,,,,,,,,,,,,,WATER COLUMN,,,,,,,,,,Solid phase,,,,,,,IAPSO,,,,C14,,,,
"Porewater data: alkalinity (Fig 4), DIC (Fig 5), 13C (Fig 6), Ca (Fig 7), in situ pH (Fig 8), Mn (Fig 9), Omega_calcite (Fig 11), Sr (Fig 12), and Keeling analysis (Fig S.3)",,,,,,,,,,,,,,Water column dataa of dissolved oxygen and omega_calcite (Fig 2) and water column DIC comparison (Fig S.2),,,,,,,,,,Solid phase data from cores (Fig 10),,,,,,,IAPSO seawater standards (Fig S.1),,,,Foram C14  calendar ages (Fig S.4),,,,
Sample ID,Station,Water Column Depth (m),Sediment Depth (cm),Alkalinity (μmol/kg),pH (in situ),Silica (μM),DIC (μmol/kg),𝛿13C of DIC (‰),Mn +2 (μmol/kg),Ca +2 (mM),Sr +2 (mM),Omega_calcite (pH/Alk),,Station,Water Column Depth (m),Pressure (decibars),Temperature (°C),Salinty (ppt),Alkalinity (μmol/kg),pH input (lab),DIC (μmol/kg),Omega_calcite (pH/Alk),,Station,Water Column Depth (m),Sediment Depth (cm),Porosity (%),% CaCO3,% Organic C,,Ca (mmol/kg),Sr (umol/kg),Na (mmol/kg),,Station,Water Column Depth (m),Sediment Depth (cm),Foram species,C14 calendar age (yr)
CR1-2-51,1,3223,13.5,2749.41,7.632,374.4,2660.5,-1.59,38.87,n.d.,n.d.,0.78,,2,1875.8,1894.82,2.53,34.63,2414.59,7.472,2366.9,0.99,,3,1630,17,75.23,77.57,0.4,,,,,,,,,,
CR1-2-52a,1,3223,14.5,2664.62,n.d.,349.6,2571,n.d.,n.d.,n.d.,n.d.,n.d.,,2,1676.28,1692.47,2.84,34.62,2404.63,7.458,2357,1,,3,1630,19,75.57,79.51,0.29,,,,,,,,,,
CR1-2-55,1,3223,6.1,2548.08,7.496,304.7,2559.4,-1.22,0.03,10.34,84.88,0.54,,2,1475.34,1488.87,3.26,34.59,2394.71,7.434,2363.6,0.98,,3,1630,21,75.24,79.3,0.25,,,,,,,,,,
CR1-2-58,1,3223,12.1,2767.25,7.651,370.3,2681.6,-1.73,48.49,10.41,85.75,0.82,,2,1275.5,1286.59,3.78,34.57,2380.13,7.415,2346.5,0.98,,3,1630,23,75.53,80.82,0.52,,,,,,,,,,
CR1-2-61,1,3223,20.1,2814.21,7.727,383.9,2721.6,-1.88,72.2,10.43,85.83,0.98,,2,1150.24,1159.89,4.13,34.56,2372.13,7.404,2382.5,0.98,,5,2911,0.5,92.82,12.79,0.91,,,,,,,,,,
CR1-2-62,1,3223,24.1,2721.45,7.709,389.5,2728.8,-1.84,75.3,10.4,85.06,0.91,,2,1051.67,1060.24,4.41,34.56,2362.63,7.396,2330.5,0.98,,5,2911,1.5,90.25,10.52,0.81,,,,,,,,,,
CR2-1-0,2,2650,0,2436.16,7.742,157.1,2364.2,0.09,0,10.34,85.58,0.71,,2,950.84,958.35,4.7,34.55,2356.93,7.388,2338.2,0.99,,5,2911,2.5,87.86,13.19,0.73,,,,,,,,,,
CR2-1-10a,2,2650,6.8,2703.27,n.d.,291.6,2652.8,n.d.,n.d.,n.d.,n.d.,n.d.,,2,850.69,857.21,5.06,34.55,2349.78,7.379,2329.9,0.99,,5,2911,3.5,87.36,15.18,0.74,,,,,,,,,,
CR2-1-11a,2,2650,7.8,2715.7,n.d.,329.3,2767.9,n.d.,n.d.,n.d.,n.d.,n.d.,,2,751.39,756.97,5.7,34.55,2337.54,7.367,2304.6,0.98,,5,2911,4.5,86.04,18.29,0.7,,,,,,,,,,
CR2-1-13a,2,2650,9.8,2760.22,n.d.,334.7,2673.9,n.d.,n.d.,n.d.,n.d.,n.d.,,2,650.58,655.24,6.35,34.56,2330.81,7.347,2320.1,0.96,,5,2911,5.5,84.6,21.23,0.79,,,,,,,,,,
CR2-1-14,2,2650,10.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,2,575.5,579.52,7.02,34.57,2321.83,7.354,2315.2,1,,5,2911,7,83.57,28.24,0.67,,,,,,,,,,
CR2-1-15a,2,2650,18.8,2759.15,n.d.,341.3,2750.2,n.d.,n.d.,n.d.,n.d.,n.d.,,2,500.53,503.94,7.9,34.6,2315.97,7.351,2339.3,1.01,,5,2911,9,85.12,24.59,1.05,,,,,,,,,,
CR2-1-16,2,2650,23.8,2791.32,7.674,374.7,2713.6,-1.62,12.02,10.47,85.58,0.57,,2,425.34,428.16,9,34.63,2316.22,7.359,2296.2,1.06,,5,2911,11,82.13,31.73,0.82,,,,,,,,,,
CR2-1-17a,2,2650,28.8,2849.97,n.d.,385.2,2767,n.d.,n.d.,n.d.,n.d.,n.d.,,2,350.19,352.44,10.75,34.72,2302.97,7.39,2278,1.17,,5,2911,13,80.86,33.32,0.67,,,,,,,,,,
CR2-1-18a,2,2650,33.8,2843.42,n.d.,391.3,2761.2,n.d.,n.d.,n.d.,n.d.,n.d.,,2,225.68,227.06,12.66,34.83,2297.18,7.467,2253.2,1.46,,5,2911,15,83.11,30.56,0.91,,,,,,,,,,
CR2-1-19a,2,2650,6.2,2682.94,n.d.,293.9,2622.4,n.d.,n.d.,n.d.,n.d.,n.d.,,2,126.71,127.45,14.07,34.94,2297.99,7.56,2219.7,1.85,,5,2911,17,84.4,28.54,1.06,,,,,,,,,,
CR2-1-20,2,2650,7.2,2754.31,7.668,321.3,2657.9,-1.31,0.01,n.d.,n.d.,0.69,,2,45.66,45.92,17.31,34.8,2289.11,7.656,2173.6,2.35,,5,2911,19,85.19,26.94,1.28,,,,,,,,,,
CR2-1-21a,2,2650,8.2,2748.87,n.d.,320.6,2613.2,n.d.,n.d.,n.d.,n.d.,n.d.,,2,20.57,20.69,26.51,32.86,2169.54,8.03,1890.5,4.7,,5,2911,21,86.17,26.31,1.18,,,,,,,,,,
CR2-1-22,2,2650,9.2,2687.77,7.674,321.4,2604.4,-1.1,n.d.,n.d.,n.d.,0.78,,3,1649.98,1665.79,3.02,34.61,2399.38,7.457,2344.1,1,,5,2911,23,87.46,24,1.42,,,,,,,,,,
CR2-1-23a,2,2650,10.2,2724.32,n.d.,328.8,2624,n.d.,n.d.,n.d.,n.d.,n.d.,,3,1600.26,1615.4,3.1,34.61,2398.36,7.452,2350.5,1,,5,2911,25,84.58,25.33,1.41,,,,,,,,,,
CR2-1-24,2,2650,18.2,2800.83,7.69,377.7,2725.2,-1.6,15.01,n.d.,n.d.,0.73,,3,1500.48,1514.32,3.32,34.6,2392.89,7.447,2332.6,1.01,,5,2911,27,84.73,25.34,1.37,,,,,,,,,,
CR2-1-25a,2,2650,23.2,2845.36,n.d.,377.6,2737,n.d.,n.d.,n.d.,n.d.,n.d.,,3,1401.47,1414.06,3.49,34.6,2387.4,7.441,2333.7,1.02,,5,2911,29,85.02,26.61,1.43,,,,,,,,,,
CR2-1-26,2,2650,28.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,3,1300.83,1312.2,3.74,34.59,2380.71,7.432,2332.6,1.02,,,,,,,,,,,,,,,,,
CR2-1-27,2,2650,33.2,2835.51,7.657,385.9,2765.7,-1.74,16.07,10.51,85.95,0.73,,3,1150.45,1160.09,4.25,34.58,2368.82,7.413,2337.5,1.01,,,,,,,,,,,,,,,,,
